v,s,insum,serr,vmod,smod,gaussian fit params,,
,,,,-567.9799,0.00863,,,
,,,,-566.9799,0.00871,,,
,,,,-565.9799,0.00879,,,
,,,,-564.9799,0.00887,,,
,,,,-563.9799,0.00895,,,
,,,,-562.9799,0.00903,,,
,,,,-561.9799,0.00911,,,
,,,,-560.9799,0.00919,,,
,,,,-559.9799,0.00927,,,
,,,,-558.9799,0.00935,,,
,,,,-557.9799,0.00944,,,
,,,,-556.9799,0.00952,,,
,,,,-555.9799,0.0096,,,
,,,,-554.9799,0.00969,,,
,,,,-553.9799,0.00977,,,
,,,,-552.9799,0.00986,,,
,,,,-551.9799,0.00995,,,
,,,,-550.9799,0.01003,,,
,,,,-549.9799,0.01012,,,
,,,,-548.9799,0.01021,,,
,,,,-547.9799,0.0103,,,
,,,,-546.9799,0.01038,,,
,,,,-545.9799,0.01047,,,
,,,,-544.9799,0.01056,,,
,,,,-543.9799,0.01065,,,
,,,,-542.9799,0.01075,,,
,,,,-541.9799,0.01084,,,
,,,,-540.9799,0.01093,,,
,,,,-539.9799,0.01102,,,
,,,,-538.9799,0.01111,,,
,,,,-537.9799,0.01121,,,
,,,,-536.9799,0.0113,,,
,,,,-535.9799,0.0114,,,
,,,,-534.9799,0.01149,,,
,,,,-533.9799,0.01159,,,
,,,,-532.9799,0.01169,,,
,,,,-531.9799,0.01178,,,
,,,,-530.9799,0.01188,,,
,,,,-529.9799,0.01198,,,
,,,,-528.9799,0.01208,,,
,,,,-527.9799,0.01218,,,
,,,,-526.9799,0.01228,,,
,,,,-525.9799,0.01238,,,
,,,,-524.9799,0.01248,,,
,,,,-523.9799,0.01258,,,
,,,,-522.9799,0.01268,,,
,,,,-521.9799,0.01279,,,
,,,,-520.9799,0.01289,,,
,,,,-519.9799,0.01299,,,
,,,,-518.9799,0.0131,,,
,,,,-517.9799,0.0132,,,
,,,,-516.9799,0.01331,,,
,,,,-515.9799,0.01342,,,
,,,,-514.9799,0.01352,,,
,,,,-513.9799,0.01363,,,
,,,,-512.9799,0.01374,,,
,,,,-511.9799,0.01385,,,
,,,,-510.9799,0.01396,,,
,,,,-509.9799,0.01407,,,
,,,,-508.9799,0.01418,,,
,,,,-507.9799,0.01429,,,
,,,,-506.9799,0.0144,,,
,,,,-505.9799,0.01451,,,
,,,,-504.9799,0.01462,,,
,,,,-503.9799,0.01474,,,
,,,,-502.9799,0.01485,,,
,,,,-501.9799,0.01496,,,
,,,,-500.9799,0.01508,,,
,,,,-499.9799,0.01519,,,
,,,,-498.9799,0.01531,,,
,,,,-497.9799,0.01543,,,
,,,,-496.9799,0.01554,,,
